"verb","complete verb","case","meaning in german","meaning in english","example1","example2"
"berichten","berichten über","Akkusativ","informieren","to report about","Der Reporter berichtet über die Wahlen.","Sie berichtete über das Ereignis."
"beschäftigen","sich beschäftigen mit","Dativ","sich kümmern","to deal with","Ich beschäftige mich gern mit Pflanzen.","Er beschäftigt sich mit der Geschichte."
"beschweren","sich beschweren bei","Dativ","klagen","to complain to","Der Gast beschwert sich beim Kellner.","Sie beschwerte sich bei der Verwaltung."
"bestehen","bestehen aus","Dativ","zusammengesetzt sein","to consist of","Eheringe bestehen aus Gold.","Das Team besteht aus fünf Mitgliedern."
"bestehen","bestehen auf","Dativ","beharren","to insist on","Ich bestehe auf sofortiger Bezahlung des Autos.","Er besteht auf seiner Meinung."
"beteiligen","sich beteiligen an","Dativ","teilnehmen","to participate in","Viele Studenten beteiligen sich an den Streiks.","Er beteiligte sich an der Diskussion."
"bewerben","sich bewerben bei","Dativ","sich melden","to apply to","Er bewirbt sich bei einer Bäckerei.","Sie bewarb sich bei einer Firma."
"bewerben","sich bewerben um","Akkusativ","sich melden","to apply for","Sie bewirbt sich um eine Stelle als Sekretärin.","Er bewarb sich um ein Stipendium."
"beziehen","sich beziehen auf","Akkusativ","referenzieren","to refer to","Meine Frage bezieht sich auf Ihr Angebot.","Sein Kommentar bezog sich auf das Thema."
"bitten","bitten um","Akkusativ","ersuchen","to ask for","Der Redner bittet um Aufmerksamkeit.","Sie bat um Hilfe."
"danken","danken für","Akkusativ","Dank aussprechen","to thank for","Sam dankt für Ritas Hilfe.","Er dankte für das Geschenk."
"denken","denken an","Akkusativ","sich erinnern","to think of","Maria denkt oft an den Urlaub.","Er denkt an seine Kindheit."
"diskutieren","diskutieren über","Akkusativ","besprechen","to discuss","Das Kabinett diskutiert über eine neue Steuer.","Wir diskutierten über das Problem."
"einladen","einladen zu","Dativ","einladen","to invite to","Ich lade dich zu meinem Geburtstag ein.","Sie lud ihn zum Abendessen ein."
"entscheiden","sich entscheiden für","Akkusativ","wählen","to decide for","Kinder entscheiden sich gern für Schokolade.","Er entschied sich für das rote Auto."
"entschließen","sich entschließen zu","Dativ","beschließen","to decide to","Karl entschließt sich zu einem Studium.","Sie entschloss sich zu einer Reise."
"entschuldigen","sich entschuldigen bei","Dativ","um Entschuldigung bitten","to apologize to","Tom entschuldigt sich bei ihrem Mann.","Er entschuldigte sich bei seinem Freund."
"entschuldigen","sich entschuldigen für","Akkusativ","um Entschuldigung bitten","to apologize for","Ich entschuldige mich für das Verhalten meiner Katze.","Sie entschuldigte sich für die Verspätung."
"erholen","sich erholen von","Dativ","sich regenerieren","to recover from","Von dem Schock muss ich mich erst erholen.","Er erholte sich von der Krankheit."
"erinnern","sich erinnern an","Akkusativ","sich zurückerinnern","to remember","Wir erinnern uns gern an unser erstes Ehejahr.","Er erinnerte sich an den Tag."
"erkennen","erkennen an","Dativ","identifizieren","to recognize by","Man erkennt Pinocchio an seiner langen Nase.","Sie erkannte ihn an seiner Stimme."
"erkundigen","sich erkundigen nach","Dativ","nachfragen","to inquire about","Oma erkundigt sich oft nach meinen Plänen.","Er erkundigte sich nach dem Weg."
"erschrecken","erschrecken über","Akkusativ","sich fürchten","to be frightened by","Der Koch erschrickt über eine Maus.","Sie erschrak über die Nachricht."
"erzählen","erzählen über","Akkusativ","berichten","to tell about","Ein Ostberliner erzählt über sein Leben in der ehemaligen DDR.","Er erzählte über seine Reise."
"erzählen","erzählen von","Dativ","berichten","to tell about","Der Bischoff erzählt von der Reise nach Rom.","Sie erzählte von ihrer Kindheit."
"fragen","fragen nach","Dativ","nachfragen","to ask about","Die Journalistin fragt nach den Konsequenzen der Gesetzesänderung.","Er fragte nach dem Preis."
"freuen","sich freuen auf","Akkusativ","sich vorfreuen","to look forward to","Kinder freuen sich auf die Ferien.","Sie freut sich auf das Konzert."
"freuen","sich freuen über","Akkusativ","sich freuen","to be happy about","Jeder freut sich über eine Gehaltserhöhung.","Er freute sich über das Geschenk."
"gehen","gehen um","Akkusativ","sich drehen","to be about","Immer geht es um Geld.","In dem Film geht es um Liebe."
"gehören","gehören zu","Dativ","zugehörig sein","to belong to","Das Elsass gehört zu Frankreich.","Das Buch gehört zu mir."
"gewöhnen","sich gewöhnen an","Akkusativ","sich anpassen","to get used to","Ich kann mich nicht an die Zeitumstellung gewöhnen.","Er gewöhnte sich an das Klima."
"glauben","glauben an","Akkusativ","vertrauen","to believe in","Teenager glauben an die große Liebe.","Sie glaubt an das Gute."
"gratulieren","gratulieren zu","Dativ","beglückwünschen","to congratulate on","Wir gratulieren dir zum 18. Geburtstag.","Er gratulierte ihr zur Beförderung."
"halten","halten für","Akkusativ","betrachten als","to consider","Ich halte das für keine gute Idee.","Sie hält ihn für klug."
"halten","halten von","Dativ","meinen","to think of","Kinder halten nicht viel von Ordnung.","Er hält viel von Pünktlichkeit."
"handeln","sich handeln um","Akkusativ","sich drehen um","to be about","Bei der Kopie handelt es sich nicht um Originalsoftware.","Es handelt sich um ein Missverständnis."
"handeln","handeln von","Dativ","sich drehen um","to be about","Märchen handeln von Gut und Böse.","Das Buch handelt von Abenteuern."
"helfen","helfen bei","Dativ","unterstützen","to help with","Kann ich dir beim Tischdecken helfen?","Er half mir bei der Arbeit."
"hindern","hindern an","Dativ","blockieren","to prevent from","Ein langsamer Fahrer hindert Greta am Überholen.","Nichts hindert ihn daran, zu kommen."
"hoffen","hoffen auf","Akkusativ","erwarten","to hope for","Im März hoffen alle auf warme Frühlingstage.","Sie hofft auf eine Antwort."
"hören","hören von","Dativ","erfahren","to hear about","Ich habe seit Sonntag nichts von Piet gehört.","Er hörte von dem Unfall."
"informieren","sich informieren über","Akkusativ","sich erkundigen","to inform oneself about","Auf der Messe kann man sich über die neue Technologie informieren.","Er informierte sich über das Thema."
"interessieren","sich interessieren für","Akkusativ","sich interessieren","to be interested in","Monika interessiert sich für ein Smartphone.","Er interessiert sich für Kunst."
"klagen","klagen über","Akkusativ","sich beschweren","to complain about","Tim klagt häufig über Kopfschmerzen.","Sie klagte über den Lärm."
"kämpfen","kämpfen für","Akkusativ","sich einsetzen","to fight for","Die Gewerkschaft kämpft für höhere Löhne.","Er kämpft für Gerechtigkeit."
"kommen","kommen zu","Dativ","führen zu","to lead to","In der Besprechung kam es zu einem Streit.","Es kam zu einer Einigung."
"konzentrieren","sich konzentrieren auf","Akkusativ","fokussieren","to concentrate on","Karl konzentriert sich auf seine Hausaufgaben.","Sie konzentrierte sich auf die Aufgabe."
"kümmern","sich kümmern um","Akkusativ","sich sorgen","to take care of","Im Pflegeheim kümmert man sich um alte Leute, die krank sind.","Er kümmert sich um den Garten."
"lachen","lachen über","Akkusativ","sich amüsieren","to laugh about","Über einen guten Witz muss man laut lachen.","Sie lachte über die Geschichte."
"leiden","leiden an","Dativ","erkrankt sein","to suffer from","Jeder fünfte Manager leidet an Burn-out.","Er leidet an einer Krankheit."
"leiden","leiden unter","Dativ","belastet sein","to suffer from","Kaffeetrinker leiden unter Schlafproblemen.","Sie leidet unter Stress."
"nachdenken","nachdenken über","Akkusativ","reflektieren","to think about","Beamte müssen nicht über ihre Rente nachdenken.","Er dachte über das Problem nach."
"protestieren","protestieren gegen","Akkusativ","sich wehren","to protest against","Viele Menschen protestieren gegen Atomkraft.","Sie protestierten gegen die Entscheidung."
"rechnen","rechnen mit","Dativ","erwarten","to expect","Im Januar muss man mit Schnee rechnen.","Er rechnete mit einer Antwort."
"reden","reden über","Akkusativ","sprechen","to talk about","Deine Mutter redet gern über Krankheiten.","Er redete über seine Pläne."
"reden","reden von","Dativ","sprechen","to talk about","Großvater redet von den guten alten Zeiten.","Sie redete von ihrer Reise."
"riechen","riechen nach","Dativ","duften","to smell of","Hier riecht es nach Kuchen.","Es riecht nach Blumen."
"sagen","sagen über","Akkusativ","äußern","to say about","Brigitte sagt über Dietmar, dass er oft lügt.","Er sagte nichts über das Thema."
"sagen","sagen zu","Dativ","kommentieren","to say about","Was sagst du zu meinem neuen Haarschnitt?","Sie sagte nichts zu dem Vorschlag."
"schicken","schicken an","Akkusativ","senden","to send to","Die E-Mail schicke ich dir morgen.","Er schickte das Paket an seine Freundin."
"schicken","schicken zu","Dativ","senden","to send to","Der Allgemeinmediziner schickt den Patienten zu einem Spezialisten.","Sie schickte ihn zur Schule."
"schimpfen","schimpfen über","Akkusativ","sich beschweren","to complain about","Alle schimpfen über den Regen.","Er schimpfte über den Service."
"schmecken","schmecken nach","Dativ","schmecken","to taste of","Muscheln schmecken nach Meerwasser.","Der Kuchen schmeckte nach Zimt."
"schreiben","schreiben an","Akkusativ","verfassen","to write to","Bitte schreibe noch heute an deine Mutter.","Er schrieb einen Brief an seinen Freund."
"schützen","sich schützen vor","Dativ","sich absichern","to protect oneself from","Den Computer muss man vor Hackern schützen.","Sie schützte sich vor der Kälte."
"sein","sein für","Akkusativ","unterstützen","to be for","Ich bin für die Abschaffung der Kinderarbeit.","Er ist für die Reform."
"sein","sein gegen","Akkusativ","ablehnen","to be against","Viele sind gegen Steuererhöhungen.","Sie ist gegen den Plan."
"sorgen","sorgen für","Akkusativ","sich kümmern","to take care of","Kinder müssen im Alter für ihre Eltern sorgen.","Er sorgte für die Familie."
"sprechen","sprechen mit","Dativ","sich unterhalten","to speak with","Ich spreche noch einmal mit deinem Vater.","Sie sprach mit dem Lehrer."
"sprechen","sprechen über","Akkusativ","diskutieren","to talk about","Lass uns über deine Zukunft sprechen.","Er sprach über das Projekt."
"sterben","sterben an","Dativ","versterben","to die of","Zwei Deutsche sind an der Grippe gestorben.","Sie starb an einer Krankheit."
"streiten","streiten mit","Dativ","sich streiten","to argue with","Ich möchte nicht mit dir streiten.","Er stritt mit seinem Bruder."
"streiten","streiten über","Akkusativ","sich streiten","to argue about","Die USA und Deutschland streiten über eine neue Strategie.","Sie stritten über das Geld."
"teilnehmen","teilnehmen an","Dativ","mitmachen","to participate in","Nordkorea nimmt an der Fußball-WM teil.","Er nahm an der Konferenz teil."
"telefonieren","telefonieren mit","Dativ","anrufen","to talk on the phone with","Hast du schon mit dem Arzt telefoniert?","Sie telefonierte mit ihrer Freundin."
"treffen","sich treffen mit","Dativ","sich verabreden","to meet with","Die Kanzlerin trifft sich täglich mit ihrem Pressesprecher.","Er traf sich mit seinem Kollegen."
"treffen","sich treffen zu","Dativ","sich verabreden","to meet for","Sie treffen sich nur zu einem kurzen Gespräch.","Wir treffen uns zum Abendessen."
"überreden","überreden zu","Dativ","überzeugen","to persuade to","Kann ich dich zu einem Glas Wein überreden?","Sie überredete ihn zum Mitkommen."
"unterhalten","sich unterhalten mit","Dativ","sich unterhalten","to talk with","Der Sänger unterhält sich mit dem Bassisten.","Er unterhielt sich mit seinem Nachbarn."
"unterhalten","sich unterhalten über","Akkusativ","sich unterhalten","to talk about","Die Modedesigner unterhalten sich über die neuesten Trends.","Sie unterhielten sich über das Wetter."
"verabreden","sich verabreden mit","Dativ","sich treffen","to arrange to meet with","Heute verabrede ich mich mit einer Freundin.","Er verabredete sich mit seinem Chef."
"verabschieden","sich verabschieden von","Dativ","Abschied nehmen","to say goodbye to","Nun wollen wir uns von euch verabschieden.","Sie verabschiedete sich von ihrer Familie."
"vergleichen","vergleichen mit","D","vergleichen","to compare with","Vergleichen Sie München mit Berlin.","Er verglich das neue Auto mit dem alten."
"verlassen","sich verlassen auf","A","vertrauen","to rely on","Auf mich kann man sich verlassen.","Sie verlässt sich auf ihre Freunde."
"verlieben","sich verlieben in","A","Liebe empfinden","to fall in love with","Britta hat sich in das alte Bauernhaus verliebt.","Er verliebte sich in die Stadt."
"verstehen","sich verstehen mit","D","gut auskommen","to get along with","Daniel versteht sich gut mit seinem Chef.","Sie versteht sich gut mit ihren Nachbarn."
"verstehen","verstehen von","D","Kenntnis haben","to know about","Verstehst du etwas von Elektrik?","Er versteht viel von Technik."
"vorbereiten","sich vorbereiten auf","A","sich bereitmachen","to prepare for","Karl bereitet sich auf eine Präsentation vor.","Sie bereitete sich auf die Prüfung vor."
"warnen","warnen vor","D","hinweisen","to warn about","Man hatte ihn vor den hohen Kosten für das alte Auto gewarnt.","Sie warnte ihn vor der Gefahr."
"warten","warten auf","A","abwarten","to wait for","Hier wartet man lange auf einen Bus.","Er wartete auf ihre Antwort."
"wenden","sich wenden an","A","kontaktieren","to turn to","Bitte wenden Sie sich an die Buchhaltung.","Sie wandte sich an ihren Lehrer."
"werden","werden zu","D","sich verwandeln","to turn into","Unter null Grad wird Wasser zu Eis.","Die Raupe wird zu einem Schmetterling."
"wissen","wissen von","D","Kenntnis haben","to know about","Ich weiß nichts von neuen Computern für unser Team.","Sie wusste nichts von den Plänen."
"wundern","sich wundern über","A","verwundert sein","to be surprised about","Viele Deutsche wundern sich über die plötzlich so hohen Stromkosten.","Er wunderte sich über die Nachricht."
"zuschauen","zuschauen bei","D","beobachten","to watch","Kann ich dir bei der Reparatur zuschauen?","Sie schaute ihm beim Spielen zu."
"zusehen","zusehen bei","D","beobachten","to watch","Willst du mir beim Kochen zusehen?","Er sah ihr beim Tanzen zu."
"zweifeln","zweifeln an","D","unsicher sein","to doubt","John zweifelt daran, dass sein Sohn die Wahrheit gesagt hat.","Sie zweifelte an seiner Entscheidung."
