nomen-verb-verbindung,bedeutet,case,meaning in german,meaning in english,example1,example2
"sich in Acht _____",sich in Acht nehmen vor,Dativ,"vorsichtig sein, sich hüten vor etwas/jemandem","to be careful of, to beware of","Man muss sich vor Betrügern in Acht nehmen.",""
"jdm. Achtung _____",jdm. Achtung entgegenbringen,Dativ,"jemandem Respekt zeigen","to show respect to someone","Sie bringt ihren Eltern große Achtung entgegen.",""
"die Absicht _____",die Absicht haben,Akkusativ,"etwas planen oder vorhaben","to have the intention to","Er hat die Absicht, morgen früh abzureisen.",""
"eine Änderung _____",eine Änderung vornehmen,Akkusativ,"etwas verändern oder anpassen","to make a change","Wir müssen noch einige Änderungen am Vertrag vornehmen.",""
"Anerkennung _____",Anerkennung finden,Nominativ,"Lob oder Wertschätzung erhalten","to gain recognition","Seine Arbeit fand endlich die verdiente Anerkennung.",""
"eine Anforderung _____",eine Anforderung erfüllen,Akkusativ,"eine Bedingung oder Erwartung erfüllen","to meet a requirement","Der Bewerber erfüllt alle Anforderungen für die Stelle.",""
"eine Anfrage _____",eine Anfrage stellen an,Akkusativ,"jemanden um Information bitten","to make an inquiry to","Er stellte eine Anfrage an die Verwaltung.",""
"ein Angebot _____",ein Angebot machen,Akkusativ,"etwas zum Kauf oder zur Nutzung anbieten","to make an offer","Das Unternehmen machte den Kunden ein unwiderstehliches Angebot.",""
"ein Angebot _____",ein Angebot unterbreiten,Akkusativ,"einen Vorschlag machen","to submit an offer","Sie unterbreitete dem Kunden ein attraktives Angebot.",""
"in Angriff _____",in Angriff nehmen,Akkusativ,"mit etwas anfangen","to tackle, to start working on","Wir müssen das Projekt bald in Angriff nehmen.",""
"Angst _____",Angst machen,Dativ,"jemanden verängstigen","to frighten someone","Der Hund macht den Kindern Angst.",""
"ein Anliegen _____",ein Anliegen sein,Nominativ,"etwas, was jemandem wichtig ist","to be a concern","Es ist mir ein Anliegen, Ihnen persönlich zu danken.",""
"einen Anspruch _____",einen Anspruch haben auf,Akkusativ,"ein Recht auf etwas haben","to be entitled to","Sie hat Anspruch auf Urlaub.",""
"in Anspruch _____",in Anspruch nehmen,Akkusativ,"etwas nutzen oder beanspruchen","to make use of, to claim","Diese Aufgabe nimmt viel Zeit in Anspruch.",""
"einen Antrag _____",einen Antrag stellen auf,Akkusativ,"offiziell um etwas bitten","to apply for","Er stellte einen Antrag auf Förderung.",""
"zur Anwendung _____",zur Anwendung kommen,Dativ,"genutzt oder eingesetzt werden","to be applied, to be used","Diese Methode kommt häufig zur Anwendung.",""
"an die Arbeit _____",an die Arbeit gehen,Akkusativ,"mit der Arbeit beginnen","to get to work","Nach dem Frühstück gehe ich an die Arbeit.",""
"gute Arbeit _____",gute Arbeit leisten,Akkusativ,"qualitativ hochwertige Ergebnisse erzielen","to do good work","Das Team hat bei diesem Projekt gute Arbeit geleistet.",""
"Arbeit _____",Arbeit machen,Akkusativ,"Aufwand verursachen","to cause effort","Das macht viel Arbeit.",""
"sich an die Arbeit _____",sich an die Arbeit machen,Akkusativ,"anfangen zu arbeiten","to get down to work","Ich mache mich sofort an die Arbeit.",""
"in Arbeit _____",in Arbeit sein,Dativ,"gerade bearbeitet werden","to be in progress","Der Auftrag ist noch in Arbeit.",""
"zu der Auffassung _____",zu der Auffassung gelangen,Dativ,"zu einer Meinung oder Schlussfolgerung kommen","to come to the conclusion","Nach langer Überlegung gelangte sie zu der Auffassung, dass er recht hatte.",""
"die Aufmerksamkeit _____",die Aufmerksamkeit gewinnen,Akkusativ,"Interesse oder Beachtung erregen","to gain attention","Mit dieser Aktion gewann er die Aufmerksamkeit der Medien.",""
"einen Auftrag _____",einen Auftrag geben,Akkusativ,"jemanden mit einer Aufgabe beauftragen","to give an order, to commission","Sie gab mir den Auftrag, die Dokumente zu übersetzen.",""
"einen Auftrag _____",einen Auftrag erteilen,Akkusativ,"jemanden mit einer Aufgabe betrauen","to commission, to instruct","Der Kunde erteilte uns den Auftrag für das Projekt.",""
"zum Ausdruck _____",zum Ausdruck bringen,Dativ,"etwas äußern oder mitteilen","to express","Er brachte seine Gedanken klar zum Ausdruck.",""
"zur Auswahl _____",zur Auswahl stehen,Dativ,"als Option verfügbar sein","to be available for selection","Verschiedene Modelle stehen zur Auswahl.",""
"Auswirkungen _____",Auswirkungen haben auf,Akkusativ,"einen Effekt oder Einfluss haben","to have effects on","Die Entscheidung hat Auswirkungen auf alle Mitarbeiter.",""
"Beachtung _____",Beachtung finden,Akkusativ,"Aufmerksamkeit erregen","to find attention, to be noticed","Sein Vorschlag fand allgemeine Beachtung.",""
"einen Beitrag _____",einen Beitrag leisten,Akkusativ,"helfen oder unterstützen","to make a contribution","Sie leistet einen wichtigen Beitrag zum Team.",""
"ein Gespräch _____",ein Gespräch führen mit,sprechen mit,Akkusativ,"mit jemandem sprechen","to have a conversation with","Der Chef führte ein Gespräch mit den Mitarbeitern.",""
"ein Gespräch _____",ein Gespräch führen über,diskutieren über,Akkusativ,"über ein Thema sprechen","to have a conversation about","Wir führten ein Gespräch über die aktuellen Probleme.",""
"den Grund _____",den Grund angeben,begründen,Akkusativ,"eine Erklärung liefern","to state the reason","Er gab den Grund für seine Verspätung an.",""
"einen Gruß _____",einen Gruß erwidern,zurückgrüßen,Akkusativ,"zurückgrüßen","to return a greeting","Sie erwiderte freundlich seinen Gruß.",""
"Interesse _____",Interesse wecken für,interessieren für,Akkusativ,"Interesse für etwas erzeugen","to arouse interest in","Der Vortrag weckte Interesse für das Thema.",""
"in Kauf _____",in Kauf nehmen,akzeptieren,Akkusativ,"etwas akzeptieren oder hinnehmen","to accept, to put up with","Für den Erfolg nahm er viel Arbeit in Kauf.",""
"zur Kenntnis _____",zur Kenntnis nehmen,beachten,Dativ,"etwas bemerken und berücksichtigen","to take note of","Die Regierung nahm die Proteste zur Kenntnis.",""
"Kontakt _____",Kontakt aufnehmen mit,kontaktieren,Dativ,"jemanden kontaktieren","to get in contact with","Sie nahm Kontakt mit der Personalabteilung auf.",""
"in Kontakt _____",in Kontakt treten mit,kontaktieren,Dativ,"jemanden kontaktieren","to contact, to get in touch with","Er trat in Kontakt mit dem Hersteller.",""
"die Kosten _____",die Kosten tragen,bezahlen,Akkusativ,"für etwas bezahlen","to bear the costs","Das Unternehmen trägt die Kosten für die Weiterbildung.",""
"Kritik _____",Kritik üben an,kritisieren,Dativ,"etwas oder jemanden kritisieren","to criticize","Sie übte scharfe Kritik an den neuen Regelungen.",""
"in der Lage _____",in der Lage sein zu,fähig sein,Dativ,"fähig sein, etwas zu tun","to be able to","Er ist in der Lage, komplexe Probleme zu lösen.",""
"am Laufen _____",am Laufen halten,aufrechterhalten,Dativ,"etwas in Betrieb halten","to keep running, to maintain","Wir müssen den Betrieb am Laufen halten.",""
"auf dem Laufenden _____",auf dem Laufenden sein,informiert sein,Dativ,"aktuell informiert sein","to be up to date","Sie hält sich auf dem Laufenden über die neuesten Entwicklungen.",""
"auf den Markt _____",auf den Markt bringen,einführen,Akkusativ,"ein Produkt einführen","to launch, to bring to market","Das Unternehmen bringt nächsten Monat ein neues Produkt auf den Markt.",""
"sich Mühe _____",sich Mühe geben,sich anstrengen,Akkusativ,"sich bemühen oder anstrengen","to make an effort","Er gibt sich viel Mühe bei der Arbeit.",""
"auf die Nerven _____",auf die Nerven gehen,nerven,Akkusativ,"jemanden irritieren oder ärgern","to get on someone's nerves","Sein ständiges Klopfen geht mir auf die Nerven.",""
"an einem Plan _____",an einem Plan festhalten,bei einem Plan bleiben,Dativ,"einen Plan weiterverfolgen","to stick to a plan","Trotz Schwierigkeiten hält sie an ihrem Plan fest.",""
"eine Prüfung _____",eine Prüfung ablegen,ein Prüfung machen,Akkusativ,"an einer Prüfung teilnehmen","to take an exam","Sie hat letzte Woche ihre Abschlussprüfung abgelegt.",""
"jdm. Respekt _____",jdm. Respekt entgegenbringen,respektieren,Dativ,"jemandem mit Respekt begegnen","to show respect to someone","Sie bringt ihrem Mentor großen Respekt entgegen.",""
"eine Rolle _____",eine Rolle spielen,wichtig sein,Akkusativ,"von Bedeutung sein","to play a role, to be important","Geld spielt für ihn keine große Rolle.",""
"Rückmeldung _____",Rückmeldung geben,Feedback geben,Dativ,"Feedback oder Kommentar geben","to give feedback on","Bitte geben Sie uns Rückmeldung zu unseren Vorschlägen.",""
"Rücksicht _____",Rücksicht nehmen auf,berücksichtigen,Akkusativ,"etwas beachten oder berücksichtigen","to take into consideration, to be considerate of","Wir müssen Rücksicht auf die Nachbarn nehmen.",""
"Ruhe _____",Ruhe bewahren,ruhig bleiben,Akkusativ,"gelassen bleiben","to keep calm","In schwierigen Situationen ist es wichtig, Ruhe zu bewahren.",""
"in Schutz _____",in Schutz nehmen,verteidigen,Akkusativ,"jemanden verteidigen","to defend, to protect","Sie nahm ihren Kollegen vor den Vorwürfen in Schutz.",""
"sich Sorgen _____",sich Sorgen machen um,besorgt sein,Akkusativ,"beunruhigt sein wegen etwas","to worry about","Die Eltern machen sich Sorgen um die Zukunft ihrer Kinder.",""
"aufs Spiel _____",aufs Spiel setzen,riskieren,Akkusativ,"etwas riskieren","to put at risk, to jeopardize","Mit dieser Entscheidung setzt er seine Karriere aufs Spiel.",""
"zur Sprache _____",zur Sprache bringen,ansprechen,Dativ,"etwas thematisieren","to bring up, to mention","Sie brachte das Problem in der Besprechung zur Sprache.",""
"zur Sprache _____",zur Sprache kommen,thematisiert werden,Dativ,"diskutiert oder erwähnt werden","to be brought up, to be mentioned","Dieses Thema kam in der Sitzung zur Sprache.",""
"auf den neuesten Stand _____",auf den neuesten Stand bringen,aktualisieren,Akkusativ,"aktualisieren oder informieren","to update, to bring up to date","Ich bringe dich auf den neuesten Stand der Dinge.",""
"auf dem Standpunkt _____",auf dem Standpunkt stehen,die Meinung vertreten,Dativ,"eine bestimmte Meinung haben","to take the position, to hold the view","Er steht auf dem Standpunkt, dass Veränderungen notwendig sind.",""
"Stellung _____",Stellung nehmen zu,kommentieren,Dativ,"eine Meinung zu etwas äußern","to comment on, to take a position on","Der Politiker nahm Stellung zu den Vorwürfen.",""
"eine Verabredung _____",eine Verabredung treffen zu,vereinbaren,Dativ,"einen Termin vereinbaren","to make an appointment for","Wir haben eine Verabredung zum Mittagessen getroffen.",""
"eine Verabredung _____",eine Verabredung treffen mit,sich verabreden mit,Dativ,"einen Termin mit jemandem vereinbaren","to make an appointment with","Sie traf eine Verabredung mit dem Arzt.",""
"Verantwortung _____",Verantwortung tragen für,verantwortlich sein,Akkusativ,"für etwas verantwortlich sein","to bear responsibility for","Er trägt die Verantwortung für das Projekt.",""
"sich in Verbindung _____",sich in Verbindung setzen mit,kontaktieren,Dativ,"jemanden kontaktieren","to get in touch with","Bitte setzen Sie sich mit unserem Kundendienst in Verbindung.",""
"in Verlegenheit _____",in Verlegenheit bringen,peinlich sein für,Akkusativ,"jemanden in eine peinliche Situation bringen","to embarrass","Seine Bemerkung brachte sie in Verlegenheit.",""
"zur Verfügung _____",zur Verfügung stehen,verfügbar sein,Dativ,"verfügbar oder nutzbar sein","to be available","Der Service steht rund um die Uhr zur Verfügung.",""
"zur Verfügung _____",zur Verfügung stellen,anbieten,Dativ,"etwas bereitstellen oder anbieten","to provide, to make available","Das Hotel stellt kostenfreies WLAN zur Verfügung.",""
"Verständnis _____",Verständnis aufbringen für,verstehen,Akkusativ,"für etwas Verständnis haben","to show understanding for","Sie bringt Verständnis für seine Situation auf.",""
"jdm. den Vorzug _____",jdm. den Vorzug geben,bevorzugen,Dativ,"jemanden oder etwas bevorzugen","to prefer, to give preference to","Bei gleicher Qualifikation geben wir Frauen den Vorzug.",""
"jdm. aus dem Weg _____",jdm. aus dem Weg gehen,vermeiden,Dativ,"jemanden oder etwas vermeiden","to avoid, to dodge","Er geht seinem Chef aus dem Weg.",""
"im Zentrum _____",im Zentrum stehen,zentral sein,Dativ,"im Mittelpunkt stehen","to be at the center","Bei dieser Veranstaltung stehen die Kinder im Zentrum.",""
"im Zusammenhang _____",im Zusammenhang stehen mit,verbunden sein mit,Dativ,"mit etwas in Verbindung stehen","to be connected with, to be related to","Diese Probleme stehen im Zusammenhang mit dem Klimawandel.",""
"Zweifel _____",Zweifel haben an,skeptisch sein,Dativ,"etwas bezweifeln","to have doubts about","Er hat Zweifel an der Richtigkeit der Aussage.",""
"außer Zweifel _____",außer Zweifel stehen,sicher sein,Dativ,"zweifellos sein","to be beyond doubt","Seine Unschuld steht außer Zweifel.",""
