"nomen-verb-verbindung","bedeutet","case","meaning in german","meaning in english","example1","example2"
"auf den neuesten Stand bringen","to update","accusative","aktualisieren, informieren","to bring up to date","Ich bringe dich auf den neuesten Stand.","Können Sie mich auf den neuesten Stand bringen?"
"auf dem Standpunkt stehen","to take the position","dative","eine Meinung vertreten","to hold the view","Er steht auf dem Standpunkt, dass Änderungen notwendig sind.","Ich stehe auf dem Standpunkt, dass wir handeln müssen."
"Stellung nehmen zu","to comment on","dative","sich äußern zu","to take a position on","Der Minister nimmt Stellung zum Vorfall.","Bitte nehmen Sie zu den Vorwürfen Stellung."
"eine Verabredung treffen zu","to make an appointment for","dative","einen Termin vereinbaren für","to arrange a date for","Wir haben eine Verabredung zum Mittagessen getroffen.","Sie treffen eine Verabredung zum nächsten Treffen."
"eine Verabredung treffen mit","to make an appointment with","dative","sich mit jemandem verabreden","to arrange to meet someone","Er hat eine Verabredung mit dem Arzt getroffen.","Sie trifft eine Verabredung mit ihrem Freund."
"Verantwortung tragen für","to be responsible for","accusative","verantwortlich sein für","to bear responsibility for","Er trägt die Verantwortung für das Projekt.","Wir alle tragen Verantwortung für unsere Umwelt."
"sich in Verbindung setzen mit","to get in touch with","dative","jemanden kontaktieren","to contact someone","Bitte setzen Sie sich mit der Personalabteilung in Verbindung.","Er hat sich mit mir in Verbindung gesetzt."
"in Verlegenheit bringen","to embarrass","accusative","jemanden beschämen","to make someone feel uncomfortable","Seine Frage brachte sie in Verlegenheit.","Bring mich nicht vor allen Leuten in Verlegenheit."
"zur Verfügung stehen","to be available","dative","verfügbar sein","to be at one's disposal","Ich stehe Ihnen jederzeit zur Verfügung.","Der Raum steht ab morgen zur Verfügung."
"zur Verfügung stellen","to make available","dative","bereitstellen, anbieten","to provide, to offer","Wir stellen Ihnen alle nötigen Unterlagen zur Verfügung.","Das Hotel stellt kostenfreies WLAN zur Verfügung."
"Verständnis aufbringen für","to show understanding for","accusative","etwas verstehen, nachvollziehen können","to be understanding of","Er bringt Verständnis für ihre Situation auf.","Ich kann kein Verständnis für dieses Verhalten aufbringen."
"jdm. den Vorzug geben","to prefer someone","accusative","jemanden bevorzugen","to give preference to someone","Sie gab dem erfahreneren Kandidaten den Vorzug.","Bei gleicher Qualifikation geben wir Frauen den Vorzug."
"jdm. aus dem Weg gehen","to avoid someone","dative","jemanden meiden","to steer clear of someone","Er geht seinem ehemaligen Chef aus dem Weg.","Sie versucht, Konflikten aus dem Weg zu gehen."
"im Zentrum stehen","to be at the center","dative","im Mittelpunkt stehen","to be the focus","Das Wohlbefinden der Patienten steht im Zentrum unserer Arbeit.","Bei diesem Projekt stehen die Bedürfnisse der Kunden im Zentrum."
"im Zusammenhang stehen mit","to be related to","dative","mit etwas verbunden sein","to be connected with","Diese Probleme stehen im Zusammenhang mit der Wirtschaftskrise.","Sein Verhalten steht im Zusammenhang mit seinen Erfahrungen."
"Zweifel haben an","to have doubts about","dative","etwas bezweifeln","to be doubtful about","Ich habe Zweifel an seiner Ehrlichkeit.","Sie hat Zweifel an der Richtigkeit der Entscheidung."
"außer Zweifel stehen","to be beyond doubt","dative","unbezweifelbar sein","to be unquestionable","Seine Kompetenz steht außer Zweifel.","Es steht außer Zweifel, dass Veränderungen nötig sind."
